#,App Name,App Link,Rating,Downloads,Version,Released,Last Updated,Developer Name,Developer Email,Developer Website,About the Developer / Address,About the App / Description
1,FF Diamonds,https://play.google.com/store/apps/details?id=com.bhavy.ffdiamonds,1.7,"100,000+",1.0.12,"Nov 24, 2025","Jun 3, 2026",B/S APPS,bhavysharma305@gmail.com,https://investorcove.in,,"🎉 FF Diamonds – Spin, Scratch & Win Fun Every Day! FF Diamonds is a free entertainment app where you can enjoy daily fun activities and earn digital coins — just for excitement and timepass. 💎 Key Features: 🎯 Spin & Win: Try your luck daily with exciting spin rewards. 🎁 Scratch Cards: Scratch and reveal surprise coins every day. 🏆 Daily Bonus: Log in daily to claim your reward instantly. 🎬 Watch Ads to Earn Coins: Watch short ads to collect bonus coins. 🔥 Simple & Fun: Easy-to-use app for all age groups. 💡 Important Note: All coins in this app are virtual and for entertainment purposes only. They cannot be withdrawn, transferred, or converted to real money or any other currency. 🚀 Start playing, spinning, and scratching today — and enjoy a fun, rewarding experience every day with FF Diamonds! Download FF Diamonds now and make your free time exciting!"
2,Diamondly: Play Win FFDiamonds,https://play.google.com/store/apps/details?id=com.free.diamond.app,4.26,"1,000,000+",1.51,"Jan 8, 2024","May 5, 2026",App Seba,diamondlyapp@gmail.com,https://diamondlyweb.blogspot.com,,"Are you feeling bored and looking for a fun way to pass the time? Entertain yourself with Diamondly - Spin & Win Diamonds, an exciting and easy-to-play spinning wheel game that will keep you hooked! This game is perfect for those who enjoy testing their luck and enjoying a relaxing game. With the Lucky Spin feature, you can spin the wheel and guess numbers, giving you the chance to see if your predictions come true. It’s the perfect way to enjoy your free time and experience the thrill of winning Free Diamonds. Features of Diamondly - Spin & Win FFDiamonds: Free to Use: The game is completely free to download and play. Simple Gameplay: Start by clicking the ""Start"" button to enter the game. Once you’re on the homepage, just tap the play button and watch the wheel spin. WIN FFDiamonds: Spin the wheel to win FFDiamonds, which can be used for various rewards within the game. 150 Free Spins Per Day: Enjoy 150 chances to spin each day! Come back daily for more spins to win Free Diamonds. Various Game Options: Diamondly offers a wide range of games and spinning wheel options to keep you entertained and help you win more free diamonds. Try Your Luck: It’s all about luck! Guess your numbers, spin the wheel, and see if your assumptions work out. The game is designed to keep you entertained as you test your luck and win free ffdiamonds. No Spins Left? No Problem! If you run out of spins, simply come back tomorrow and try again and get daily ffdiamods for free! Disclaimer: Diamondly - WIN FFDiamonds Pro is a game designed purely for entertainment. There is no connection with other Games or Apps available in Google Play Store. Enjoy the fun of spinning and winning diamonds in your free time! We are constantly working to improve the game and add new features. If you have any suggestions or feedback, feel free to email us at diamondlyapp@gmail.com. Your feedback is greatly appreciated, thank you!"
3,Diamond Wala - Get Redeem Code,https://play.google.com/store/apps/details?id=com.diamondwalafireffmaxredeemcode,4.05,"5,000,000+",8.1,"Sep 19, 2023","Jun 4, 2026",Md Sanaullah Amir,contact@diamondwala.in,https://diamondwala.in,,"Diamond Wala - The Ultimate Redeem Code Earning App! 🎮 How to Get Free Redeem Codes: Play 200+ Exciting Games, complete Offerwall Tasks and Surveys, collect tokens, and instantly receive your redeem code. Disclaimer: Diamond Wala respects copyright, and all rights belong to their respective owners. Our app is not linked to or endorsed by any companies."
4,Jewels Magic : King’s Diamond,https://play.google.com/store/apps/details?id=com.bitmango.go.jewelmatchkingquest,4.539632,"1,000,000+",2604.0.5,"Feb 15, 2017","Apr 30, 2026",XLsoft,help@bitmango.com,https://www.bitmango.com,,"Play the fun & challenging Jewel Match! Hop in your airship and embark on new magical adventures! Whip your way through fantastical jewel islands and rescue a jewel fairy from the witches! Earn rewards along the way to take on tons of levels! With thousands of levels, challenging game modes and daily events, Jewel Match King:Quest provides endless hours of fun and excitement! FEATURES ◆Swap, match, and crush jewels in thousands of fun and challenging match-3 puzzle levels ◆Brand-new power-ups and ways to play! ◆Swap and blast your way through ever-expanding new worlds! ◆Check back often for events, free rewards and new levels! ◆Collect keys to unlock new worlds and crush challenges! Please Note - Jewel Match King:Quest is supported on various mobile devices. - Jewel Match King:Quest contains ads like banners, interstitials, videos and house ads. - Jewel Match King:Quest is free to play, however, you may purchase in-app contents like AD FREE and coins. Privacy Policy https://www.bitmango.com/privacy-policy/ Need Help? Have Questions? Please ask us at contactus@bitmango.com Visit Us http://www.bitmango.com/ Like Us on Facebook to Stay Up-to-Date! https://www.facebook.com/BitMangoGames/ [Required Permissions] - None [Optional Permissions] - Photo / Media / File: required storage access permission to save game data [Permission setting and withdrawal method] - Android 6.0+: Device Settings> Application Management> Select App> Revoke Access - Under Android 6.0: Can revoke access by deleting application ==============================="
5,Diamond Diaries Saga,https://play.google.com/store/apps/details?id=com.king.diamonddiariessaga,4.168212,"5,000,000+",1.103.0.0,"Jul 3, 2018","Jun 8, 2026",King,googleplay@king.com,http://diamonddiariesgame.com/,,"Download the new Diamond Diaries Saga, a brand new puzzle linker game from King, the creators of Candy Crush Saga. Create precious items of jewelry by linking 3 or more charms of the same color and complete the goal before you run out of moves! Travel to exotic cities with tons of fun, challenging levels and exciting new game modes. Enjoy a sparkling new way to connect beautiful charms in this exciting puzzle adventure! Easily sync the game between devices and access full game features when connected to the internet Take on this epic saga alone or play with friends to see who can get the highest score! Diamond Diaries Saga is completely free to play but some optional in-game items will require payment. If you need help or support, you will find helpful and extensive FAQs in our in-game Help Center. Just click tap the settings button and choose the ""i"" to find it. You can also share opinions, take part in contests and meet other members of the Diamond Diaries Saga Community https://community.king.com/en/diamond-diaries-saga Visit https://www.diamonddiariesgame.com to discover our game guides and a wealth of tips & tricks to satisfy any 24 carat cravings! By downloading this app on your mobile you are agreeing to our terms of service; http://king.com/termsAndConditions Do not sell my data: King shares your personal information with advertising partners to personalize ads. Learn more at https://king.com/privacyPolicy. If you wish to exercise your Do Not Sell My Data rights, you can do so by contacting us via the in game help centre or by going to https://soporto.king.com/"
6,FF Diamond: Get Daily Diamonds,https://play.google.com/store/apps/details?id=com.fffdiamonds,,"10,000+",1.0.10,"Mar 25, 2026","May 20, 2026",.Rn Dev,randevv007@gmail.com,https://rndevv.blogspot.com/,,"Are you a true Battle Royale expert? Test your knowledge and win big! 💎 Refine your skills and prove your mastery with FFF Diamonds Quiz Reward, the ultimate trivia challenge for fans of the game. Whether you're a seasoned pro or just starting out, our app offers hundreds of questions to test your knowledge on weapons, characters, maps, and survival strategies. 🧠 GAME FEATURES: 🔥 Diverse Quiz Categories: Deep dive into specific topics to master every aspect of the game: Weapon Master: Identify iconic guns like the AK47, AWM, MP40, and more. Character Expert: How well do you know Alok, Chrono, Kelly, and their unique abilities? Map Explorer: Recognize locations from Bermuda, Purgatory, Kalahari, and Alpine. Pet Companion: Test your knowledge on pets like Fang, Beaston, and Mr. Waggor. Tactical Combat: Answer strategy questions about the danger zone, gloo walls, and survival tips. 🏆 Rank Up & Win Rewards: Every correct answer brings you closer to victory! Earn diamonds for every quiz you complete and save them up to redeem exciting rewards. Starter Pack & Bronze Box for beginners. Gold Chest & Diamond Vault for the ultimate legends! 🚀 Why Play FFF Diamonds Quiz Reward? Challenging Levels: Progress from Easy to Hard difficulty as you improve. Learn While You Play: Discover hidden details about weapon stats and character skills you might have missed. Daily Fun: A perfect way to kill time and sharpen your game sense. Clean Interface: Smooth, easy-to-use design with beautiful visuals. Are you ready to claim the title of Ultimate Legend? Download FFF Diamonds Quiz Reward now and start your journey to becoming the smartest player on the battlefield!"
7,FF Rewards - Get Diamonds & UC,https://play.google.com/store/apps/details?id=com.betelgeuse.ffrewards,3.9125,"500,000+",60,"Jan 5, 2023","Mar 13, 2026",Betelgeuse,betelgeuse.850@gmail.com,https://betelgeuse.app,,"💰 Get thousands of diamonds now! Get ahead of your opponents in the FF game with the gold you will earn in the FF Rewards app! Get special skins and camouflages. In the Quests section, you can earn gold by completing simple tasks selected for you. Rewards for completed quests will be credited to your account within minutes. Completing quests is the fastest way to earn Diamonds and Elite Passes. 🏆 With the Play Win option, you can earn gold every minute by playing the game you want. And it's unlimited! It's easy to earn a lot of Gold every hour with Crafting Machines! Rent any machine you want with the Diamonds you will earn from the store or through various quests, and it will produce for you every hour! We are constantly looking for new ways to make it easier for you to earn diamonds! We're adding new quests every day and constantly increasing the amount of rewards. Choose from dozens of options to earn Elite Passes and Diamonds and start earning Gold! Your purchased Elite Pass will be credited to your account within 48 hours. ❤️ Your Fire Diamond code will be instantly delivered to your in-app messages. Not only Diamonds and Elite Pass, you can also get various other game codes just by completing a quest. Steam Games, Royal Pass, RP and many other rewards are available instantly. Earn UC or Diamonds, take your pick! In the Recent purchases section, you can view purchases made by other users. All your purchases and in-game currency are safe and secure, and 100% customer satisfaction is our only goal. If you wish, you can also have various Wallet Codes. Spend the wallet codes you have as you wish, buy the game you want! Stocks in the application are renewed on the 1st and 16th of each month. You can reach us on our DC channel for problems and errors you experience. Download FF Reward now, Earn thousands of FF Diamonds, Top up your Elite Pass Account!"
8,Diamond Cash Slots Casino,https://play.google.com/store/apps/details?id=diamond.cash.slots.casino,4.632911,"1,000,000+",4.4.8,"Jul 16, 2020","Jun 3, 2026",Funstage,support@diamondcashslots.com,https://www.abzorbagames.com,,"Diamond Cash Slots Online Casino 🎰 Welcome to Diamond Cash Slots – the ultimate Vegas 777 slots experience! Spin the reels, hit massive jackpots, and play the most exciting free slot machine games in one dazzling app. Whether you love classic slots, bonus rounds, or huge daily rewards, Diamond Cash Slots has everything you need for nonstop fun and big wins. Download now and start spinning your way to the top! 🎮 Play the Best Free Slots with Huge Jackpots Experience real Vegas thrills from the comfort of your home! Diamond Cash Slots delivers: 🎰 Over 150 high-quality slot machine games 🏆 Huge jackpots and high payouts 🎁 Free coins, free spins, and daily bonus rewards 🌆 Realistic Las Vegas casino experience 📲 Smooth, fast gameplay on Android devices 💬 Play solo or with friends - it’s a true social casino 🎰 Featuring Real Slots from Famous Casinos Enjoy authentic slot machines from top providers like Novoline™, AGS™, Everi™, and Konami™, including fan favorites: 🐼 China Shores™ 🚂 All Aboard™ Dynamite Dash™ 🌶️ Jumpin’ Jalapenos™ 🔮 Gypsy Fire™ 🔥 Sizzling Hot™ deluxe 📙 Book of Ra™ deluxe 🔮 Charming Lady™ deluxe 🐍 Mystic Chamber™ 🍒 Pay Day™ 🐺 Fire Wolf™ 💎 Double Ruby™ 🍊 Happy Orchard™ 🐯 Bengal’s Treasures™ 💎 Get Big Rewards Every Day You don’t need to spend to win big – just keep spinning! Diamond Cash Slots gives you more ways to earn than ever before: 🎁 Welcome Bonus - Start playing instantly, no account required 💙 Connect with Facebook, Google, or Apple for extra rewards 📅 Daily Bonus - Log in and claim your free coins every day ⏰ Time Bonus - Get more coins the longer you play ⭐ Level-Up Bonus - Keep progressing and unlocking new slots 📺 Video Bonus - Watch and earn coins fast 🛍️ Store Bonus - Collect free Gems and XP Boosters ✨ Spark Bonus - Receive bonus gifts from your friends 👫 Invite & Earn - Share the fun and get extra rewards 🌟 Exclusive Casino Features There’s more than just spinning! Unlock amazing features designed to keep you entertained and winning: 📸 VIP Club - Unlock premium benefits and faster progress 🐽 Piggy Bank - Save and break for a big coin payout 🍀 Bonus Wheels - Complete missions and win spins 🏎️ Treasure Race - Finish maps and win coins, Gems, and boosters 🎯 Diamond Pass - Complete challenges for big rewards 👫 Clubs - Join other players, unlock Vaults, and earn more together 💬 Social Casino - Chat and play with friends online 👗 Custom Avatars - Use Gems to personalize your look 👾 Charming Monsters - Collect and equip fun characters 📣 Live Events - Play limited-time slot machines and earn prizes 👩🏻‍🦰 Meet Gemma Cash - Your friendly in-game host and guide ✅ Why Players Love Diamond Cash Slots: ✔️ Top-rated free slots with real Vegas vibes ✔️ High-paying slot games with massive wins ✔️ Huge variety of classic and new slots ✔️ Free coins and spins every day ✔️ Great for fans of 777 slots, jackpots, and casino fun Please note: Diamond Cash Slots is an online casino that provides games of chance developed for entertainment purposes only. It is not possible to win real money or real items/services/gifts or goods in kind by playing our slot machines. The virtual currency used in this game is called ‘Coins’ and can be purchased in the ‘Shop’ using real money. ‘Coins’ cannot be exchanged for cash or be paid out in any form. ‘Coins’ can only be used to play these games. The games are intended solely for an adult audience which is 18+ years."
9,DiamondXE,https://play.google.com/store/apps/details?id=com.diamondxe,,"1,000+",Varies with device,"Oct 10, 2024",,DiamondXE,info@diamondxe.com,,,"DiamondXE, India’s largest online diamond app, is transforming the diamond trading landscape. With an impressive inventory of over 800K+ certified natural, lab-grown and fancy-colour diamonds, we offer an unparalleled selection that caters to both dealers and individual consumers. At DiamondXE, we prioritize transparency, ensuring clear and fair pricing for all our customers. Our app is designed to accommodate a wide range of preferences, making it easy for buyers to find the perfect stone. We also offer hassle-free returns, providing a seamless and secure buying experience. Whether you’re seeking a timeless natural diamond or an innovative lab-grown alternative, DiamondXE has you covered. Join us and discover a new way to buy diamonds, where trust, quality, and customer satisfaction are at the heart of everything we do. Experience the ultimate convenience and selection at DiamondXE—where the brilliance of diamonds meets the ease of online shopping."
10,Marie Diamond,https://play.google.com/store/apps/details?id=com.mariediamond.magicalliving,4.921739,"50,000+",3.9.4,"Oct 8, 2019","Jun 15, 2026",Marie Diamond Productions,app@mariediamond.com,http://www.mariediamond.com,,"Connect with Marie Diamond to receive your Energy Number and learn to activate your four best directions for success, health, relationships, and wisdom. You will also have access to the Tubes of Light meditation and you will receive Daily Energy messages. In the app, you will receive a small course on how to activate your home to get better results with the Law of Attraction. Join the thousands of people who are shifting their energy with the official Marie Diamond app so that they: - Achieve greater success in their personal and professional lives - Manifest their goals faster for their health and well-being - Attract more positive and loving relationships - Reach higher consciousness To have access to the premium content and functionality, you can choose between a monthly or yearly auto-renewable subscription. This is a recurring transaction that will be charged to your iTunes or Google Play account at confirmation of purchase and will automatically renew unless you cancel it at least 24 hours before the end of the subscription. Renewals will be charged the same cost within 24 hours prior to the end of the current period. You can manage your subscriptions and turn off auto-renewal by going to your iTunes or Google Play account settings after purchase."
