#,App Name,App Link,Rating,Downloads,Version,Released,Last Updated,Developer Name,Developer Email,Developer Website,About the Developer / Address,About the App / Description
1,LootsQuest: Gaming Rewards,https://play.google.com/store/apps/details?id=com.lootsquest.app,,10+,Varies with device,"Jun 8, 2026",,SoftApp dev,contact@lootsquest.com,https://lootsquest.com,,"LootsQuest is a gaming rewards app where you can play games, complete offers, answer surveys, invite friends, and earn Loots that can be redeemed for available gaming rewards and supported in-game currency options. Start your reward journey today. Complete simple quests, unlock milestones, collect Loots, and redeem them through available reward options in your region. LootsQuest is built for users who enjoy mobile games, reward apps, surveys, and offer-based earning. Every action becomes a quest, and every completed quest brings you closer to your next reward. Play Games & Earn Loots Discover mobile game offers and earn Loots by completing reward steps. Some offers may ask you to install a game, reach a level, complete missions, unlock achievements, or finish specific milestones. Each offer shows the reward details before you start, so you can understand what actions are required. Complete Surveys & Offers LootsQuest may include survey opportunities and app offers from reward partners. Eligible users can answer surveys, try new apps, complete tasks, and earn Loots after successful validation. Survey and offer availability may depend on your country, device, profile, and partner inventory. Redeem Gaming Rewards Use your Loots to redeem available gaming rewards and supported in-game currency options. Reward options may include selected gaming currency, digital rewards, and other available payout choices depending on your location and active partners. Invite Friends & Earn More Share your referral link with friends and earn bonus Loots when they join and complete qualifying actions. Track your referrals, rewards, and activity inside the app. Why Download LootsQuest? Earn Loots by playing games Complete offers and reward tasks Answer surveys and share opinions Redeem available gaming rewards Access supported in-game currency options Invite friends and earn bonus Loots Track your balance and activity Enjoy a clean gaming-style reward experience Your Reward Quest Starts Now LootsQuest makes earning rewards feel fun, simple, and exciting. Play games, complete quests, collect Loots, and redeem available rewards. Download LootsQuest and start earning Loots today. Important Notice LootsQuest is an independent rewards app. Reward options, offers, surveys, in-game currency availability, and payout methods may vary by country, device, user eligibility, advertiser verification, and partner availability. Rewards are granted only after successful completion and validation of the required actions. LootsQuest is not affiliated with, endorsed by, sponsored by, or officially connected to any game publisher, platform, or brand unless clearly stated."
2,BlitzLoot,https://play.google.com/store/apps/details?id=com.cbdzzuscbt.google,4.4220185,"50,000+",1.0.3.000,"Jan 9, 2026","Apr 28, 2026",Rhinos,service@rhinosgames.com,,,"To shoot or scoot? This is a question. However, you can achieve both above in 「BlitzLoot」! Search for resources, create your refuge, and unite your team in the doomsday world. Facing the zombie wave, you can choose to bravely slay them all or cleverly get the loots under their watch... Begin your legend from nothing... and equip yourself with more and more powerful gears via various adventures! ※Different Chapter & Surprises In each seemingly safe room, you must check very carefully to explore and find the resources. There are 10+ maps for your searching! Will you get a pleasant surprise or a fatal crisis? It depends... ※Fun of Scavenger Search every storage space for loots—foods, gear, ore, money... Nothing is impossible from the chect you will open! Bring them back and use your earnings to level up your reguge: unearned revenue is the exactly fun of scavenger! ※Unique Raid Experience Across the vast maps, exlusive zombie enemies, changing terrains, and unknown battle field ensure no two raids are the same: every raid is the one and only. ※Teamwork Fight with zombie along? No worries. Collect heroes with strong ability to unite a team. Tactically diversifying your team line-up base on the battles and upgrading your ranged, melee, and other attributes! 「How strong am I today?」 「More than yesterday and less than tomorrow」"
3,Lootfiend: Idle Dungeons,https://play.google.com/store/apps/details?id=com.megoogames.loot,4.477356,"100,000+",1.19.6,"Oct 22, 2025","Jun 16, 2026",Megoo Games,service@megoogames.com,http://www.megoogames.com,,"Lootfiend is a dark fantasy one-handed idle RPG designed for endless loot hunting and deep character progression. Simple controls and smart auto-mode let your hero fight, explore, and loot even when you step away. ◆ New Class: Shadow Ranger ◆ Rain arrows from the shadows, exploit enemy weak points, and dominate the battlefield with unmatched ranged precision. Why it's fun • Always Progressing – Make continuous progress with smart auto-mode. • The Endless Grind – Hunt rare gear, reroll randomized stats, and unlock powerful set bonuses. • Build Your Way – Mix skills, passives, and runes for stages or bosses. • Fight with Sidekicks – Recruit companions to boost your stats and overall power. • Transmog Your Hero – Convert collected gear into cosmetic outfits for a unique dark fantasy look. • More Ways to Play – Explore dungeons, Guild Raids, PvP Arena, and PvE challenges. Official Website: https://lootfiend.megoogames.com"
4,Loot Heroes: Fantasy RPG Games,https://play.google.com/store/apps/details?id=com.tapanywhere.lootheroes,4.127451,"500,000+",1.22.9,"Sep 5, 2023","May 19, 2026",Moondrip FZ-LLC,support@moondripgames.com,https://moondripgames.com,,"Team up and take down the evil in Loot Heroes the Co-op RPG! Our world has been torn apart by a rift, and now it is infested with menacing creatures. Explore mysterious forests, dungeons, vanquish monsters, and collect loot to upgrade your heroes's abilities and weapons. Discover and enhance numerous Heroes that possess formidable Super abilities, Perks, and Gadgets! Acquire distinctive skins to differentiate yourself and exhibit your achievements. JOURNEY WITH FRIENDS Go on an adventure with your friends and get more Loot in this Co-op Multiplayer RPG! Limited time special PvE game modes. BEAUTIFUL VISUALS Explore a beautiful hand made world, filled with unique places! To reach the final boss, you have to fight your way through many hand-crafted levels filled with opponents in each area. BUILD YOUR DREAM RPG TEAM Unlock new heroes with custom move and attack patterns. Be a swords master, archer, mage , mechanican, supporter or choose from many many more. Choose dozens of unique, and powerful perks making your Hero progressively stronger! COMBAT SYSTEM Level-up and equip powerful equipment which provides permanent stat bonuses! UNLOCK AND UPGRADE HEROES Collect and upgrade a variety of Heroes with powerful Super abilities, Perks and Loot! Level them up and collect unique skins. Look out for new Heroes, levels, perks, game modes and so much more in the future. --FOLLOW US-- Join the Loot Heroes RPG Community. Connect with us and learn more at: Discord: https://discord.com/invite/loot-heroes Legal: • This is a free-to-play RPG game; optional in-game purchases available. • An internet connection is required to play the game."
5,Loot RPG,https://play.google.com/store/apps/details?id=com.FourThreeOneFourGames.LootRPG,3.4242425,"10,000+",4.0.5,"Jun 26, 2019","Oct 30, 2025",4314Games,4314games@gmail.com,https://www.facebook.com/4314-Games-867929029919658/,,"Embark on an epic adventure in Loot RPG, the ultimate Idle RPG Loot Clicker game! Unleash the power of tapping as you delve into a mesmerizing world with endless treasures, different character classes and player vs player battles. Are you ready to amass legendary loot and become a true hero? Tap your way to greatness now! Loot Galore: Discover a vast array of legendary weapons, armor, and artifacts as you tap away. Equip your heroes with epic gear to enhance their power and prepare for even greater challenges. Epic Battles: Engage in exciting and strategic battles against other players from around the world. Global Rankings: Compete against players from around the world in the ultimate quest for supremacy. Climb the global leaderboards and showcase your tapping prowess to earn recognition as the mightiest hero of all! Idle Clicker Mechanics: Upgrade your heroes, abilities, and loot-gathering capabilities to optimize your tapping potential. Idle Rewards Even when you're not actively tapping, your heroes continue their quest, earning valuable rewards along the way. Reap the benefits of an idle progression system that ensures your journey to greatness never stops. Its a super easy game and free to play so come level up your character and be the highest level character in the game!"
6,Ascension Loot - RNG Looting,https://play.google.com/store/apps/details?id=com.devdelean.ascensionloot,4.45,"10,000+",2.5.1,"Jan 3, 2025","Jun 11, 2026",Dev Delean,devdelean@gmail.com,https://devdelean.fr,,"🔮 Enter the world of Ascension Loot, where every battle is shaped by RNG and chance! Each run is an opportunity for looting powerful gear, battling random monsters, and sacrificing equipment to gain prestige rewards that fuel your journey. Key Features: 🛡 Endless Roguelite Progression Venture into limitless adventures where every quest brings new challenges. Chance and strategy dictate your path as you grow stronger with each run. ⚔️ Loot, Sacrifice, and Prestige! At the end of every expedition, you must sacrifice all loot. In return, earn prestige shards to unlock permanent upgrades, ensuring continuous progress in your adventure. 🔥 Fast-Paced RNG Combat with Looting Rewards Engage in thrilling battles where RNG mechanics test your skills. Adapt to random encounters, master the looting system, and strategically upgrade for the next fight. 💎 Find Legendary Loot & Rare Drops Discover a variety of legendary weapons and armor! Every loot drop is determined by chance, making each run unpredictable and rewarding. 🌟 Prestige System for Permanent Upgrades Convert temporary power into endless growth! Gather prestige rewards and unlock buffs that will prepare you for increasingly difficult challenges. A Journey Built on Strategy & Chance In a world filled with chaos, your endless quest to find Maia pushes you forward. Every loot drop, sacrifice, and prestige upgrade brings you one step closer to ultimate power. Why Play Ascension Loot? If you love RNG-driven looting, strategic progression, and endless roguelite gameplay, this adventure is for you. Experience chance-based combat, embrace the prestige system, and prove your skills in a world where loot is everything! 🔻 Download Now & Begin Your Endless Looting Adventure! 🔻"
7,LootQuest – GPS Fantasy RPG,https://play.google.com/store/apps/details?id=com.virtualcoma.lootquest,3.49,"50,000+",200523,"Jul 4, 2024","Jun 13, 2026",Virtualcoma,info@virtualcoma.com,https://www.virtualcoma.com,,"LootQuest: Turn Your World into an RPG Adventure Step into the world of LootQuest, the mobile fantasy RPG that blends real-world movement with turn-based battles, rich storylines, and epic loot. Explore your neighborhood like never before — every step could uncover monsters, magic, or treasure. 🧭 Reality Meets Fantasy Turn real-life walks into RPG quests. Your favorite park? Now a cursed forest. Your corner shop? A bustling market in a forgotten kingdom. ⚔️ Classic Turn-Based Combat Fight goblins, zombies, cultists and more in tactical, turn-based battles. Plan your moves. Upgrade your gear. Conquer the darkness. 📜 Immersive Story & Choices Experience a narrative-driven journey full of mysterious characters, tough decisions, and a growing threat from the dark mage Vendra. 🧩 Dynamic Quests & Encounters Find puzzles, dungeons, rare NPCs, and combat encounters in real locations. Every day brings new surprises. 💎 Epic Loot System Collect rare weapons, gear, and magical items inspired by classic loot RPGs. Craft, upgrade, and prepare for what’s ahead. 📲 Google Fit Integration Sync with your steps and movement. Progress by walking, exploring, or just living life. 🎨 Customization & Style Earn or buy unique skins and avatars. Stand out as you become a legend. ⚠️ Stay Aware, Stay Safe Designed with real-world awareness in mind. Always be alert when adventuring outside. 💰 Free to Play. Zero Pay-to-Win. Enjoy the full game for free. Support the project with optional cosmetics — no power advantage needed. Whether you're commuting, walking the dog, or exploring a new city — turn your journey into a quest. Download LootQuest now and write your legend. 👉 Join our community: https://discord.com/invite/5HQHaXY89b"
8,LootBar,https://play.google.com/store/apps/details?id=com.gearup.lootbar,4.39,"100,000+",2.19.0,"Nov 2, 2023","Jun 11, 2026",GearUP株式会社,support@lootbar.gg,https://lootbar.gg/website/,,"LootBar is a trusted one-stop marketplace for gamers, offering online shopping for a wide range of PC and console titles, including popular series such as Lies of P, FC26, and NBA 2K. We provide multiple types of game services, including CD key purchases, in-game item purchases, and in-game currency purchases. With a rich selection of game products, competitive prices, and a user-friendly interface, LootBar is loved by players around the world. Product Highlights 【Best Prices】Enjoy the best prices on your favorite game products, such as affordable and safe FC26 coins and reliable, disccounted Steam game CD keys. 【Instant Game Transactions】Anytime, anywhere, you can directly purchase Steam game codes, PC game currency, and other in-game content with fast and convenient delivery. 【Shop with Confidence】Rest assured, our platform is professional and trustworthy. For every gamer transaction, we provide protection. If any issue is caused by the platform or our merchant, we will compensate you according to our policies. 【24/7 Customer Support】Our dedicated customer service team is available 24/7 to resolve transaction issues, handle disputes, provide satisfactory solutions, and ensure a worry-free experience throughout your game trading journey. 【Top-Level Security】Your data and transactions are continuously monitored and protected. We are committed to safeguarding you against fraud and other threats. 【Intuitive Interface】Powered by solid technology, our app offers a clean, intuitive, and highly responsive interface, ensuring a smooth and seamless shopping experience. 【Multiple Login Options】You can choose from a variety of login methods, using whichever is most convenient for you. 【Incredible Promotions】We offer a wide range of exciting promotions. As a new user, you can purchase selected PC game products for as little as US$0.01! Don’t hesitate—download the app now and enjoy amazing deals!"
9,Loot Legends: Robots vs Aliens,https://play.google.com/store/apps/details?id=com.salmonpirate.lootlegends,4.4957266,"500,000+",2.0.6,"Sep 11, 2021","Apr 5, 2026",Salmon Pirate,salmonpiratestudios@gmail.com,https://salmonpirate.com.au/,,"Shoot. Loot. Survive. The Robots need your help to fight the waves of Aliens that have overrun their planet! Loot Legends: Robots vs Aliens is an online action RPG featuring roguelike gameplay and multiplayer experiences! Upgrade your character with new gear, weapons and abilities as you become stronger and level up. Play Seasons to compete with other players, earn extra rewards, and push your soldier's stats endlessly higher. Built with strong Action RPG themes including unique weapon types, special item traits, item stashes, crafting, followers, and more! - DISCOVER POWERFUL ARTIFACTS Find powerful artifacts and rank them up. Use fire, ice and explosive abilities to combat unique and dangerous enemies. - EXPERIENCE MULTIPLAYER AND HANG OUT WITH FRIENDS From showing off your new loot to hanging out in the base everything is better with friends. Compete against each other on the season leaderboards to see who will become the best! - COMPETE IN ADVENTURE RUNS AND CLIMB THE LEADERBOARDS Become the best soldier at the base by ranking up and placing on the leaderboards. With leaderboards for season rank and adventure rank there are always great rewards to strive for. - SHOOT AND LOOT HORDES OF ENEMIES Protect your base by finding weapons and gear while fighting off waves of alien enemies. Use the 4 main weapon types including Assault Rifles, Pistols, Shotguns and Sniper Rifles to your advantage as you look to explore further out from your base. - DISCOVER LEGENDARY ITEMS Discover Legendary weapons and gear that will change the way you play. These powerful items transform your abilities to make you unstoppable against your enemies! - MINE AND CRAFT TO BECOME MORE POWERFUL Mining resources while out on adventure runs will be useful for leveling up and discovering new gear. Different resource types combine to create some of the most rare weapons on the planet. - PILOT SUPER VEHICLES Build up a combo to generate super and then unleash your super vehicle. Upgrade its rank at the mechanic to increase its top speed, acceleration, attack speed and more. Some vehicles can also be used in the base for quick travelling. - COMPLETE MISSIONS TO HELP THE BASE Complete daily, weekly and monthly missions to earn rewards and push deeper into adventure mode. - DEFEAT EPIC BOSSES Venture through 3 different biomes battling against a vast range of enemies with unique skills. At the end of each adventure be sure you are strong enough to take on the final boss! We look forward to continue creating new content and improving Loot Legends. We would love to hear any ideas and feedback you have. Thanks for playing Loot Legends!"
10,Heroes of Loot 2,https://play.google.com/store/apps/details?id=com.orangepixel.dungeon2,3.5517242,"5,000+",1.4.1,"Jun 7, 2016","Jul 4, 2025",OrangePixel,support@orangepixel.net,http://orangepixel.net,,"Subscribe to our newsletter for new and exclusive content: http://orangepixel.net/subscribe ------- After their job, of keeping the dungeons in balance, was done, our heroes needed a new job. Roaming the lands they found a call for heroes, a castle in need, possible even a damsel in distress? Pick two heroes to take into the adventure, controlling both heroes and using their special skills to navigate the dangerous castle hallways, rooms and floors. Switching between the two characters to solve quests, puzzles, and of course clear the dungeons of all evil. Quests - The dungeon is full of problems, let's call them quests. These problems range from simple ""find a key"" to ""use magic powers to light all magic candles and open the magical gate"". Different types of quests require different solutions. Use the skills of the characters in your party to complete these quests. Weapons - Your characters are your main weapons. The Elf shoots his arrows through multiple monsters, the Wizard has unlimited magic, the Warrior has a powerful melee attack with his hammer, and the Valkyrie besides having a quick spinning-melee attack can also detect secrets and important loot. The characters can level up to increase their firepower, or find rare loot which enhances your character for short periods of time. This includes magic spells! Secrets - Find secret rooms, level-skipping teleports, secret items, and more! Perma-items - You will be able to unlock magic spells by collecting 4 shards of various magic books. Once all shards are collected the magic is unlocked. It's also possible to increase the strength of this magic by collecting the magic shards multiple times. All unlocked spells will stay unlocked even after you die, making you more powerful on your future attempts to reach the final boss."
