#,App Name,App Link,Rating,Downloads,Version,Released,Last Updated,Developer Name,Developer Email,Developer Website,About the Developer / Address,About the App / Description
1,YouTube TV: Live TV & more,https://play.google.com/store/apps/details?id=com.google.android.youtube.tvunplugged,3.3517857,"10,000,000+",3.83.01,"Nov 2, 2017","Mar 25, 2026",Google LLC,youtube-support@google.com,http://tv.youtube.com/,,"YouTube TV is now the exclusive home of NFL Sunday Ticket. Watch every out-of-market Sunday game* on your TV and supported devices. Learn more: https://yt.be/nflsundayticket Watch cable-free live TV. Download to watch & record live TV from 100+ networks, including local sports & news, as part of your monthly membership. Cancel anytime. +Cable-free live TV. No cable box required. +Stream major broadcast and cable networks, including CBS, FOX, NBC, NFL Network, HGTV, TNT, AMC, and more, including your local sports & news channels. +Watch on your smartphone, tablet, computer, and TV +Cloud DVR without DVR storage space limits. Each recording will be stored for 9 months. +6 YouTube TV accounts per household. Everyone gets their own login, recommendations and DVR. +Monthly pay-as-you-go membership; cancel anytime. Over 100 networks are available in YouTube TV: BROADCAST CBS, FOX, NBC, NFL Network, PBS, and more SPORTS CBS Sports Network, NBC Sports RSN (regional), NFL Network, Golf Channel, SEC Network, and more ENTERTAINMENT & LIFESTYLE AMC, Animal Planet, BBC America, BET, Bravo, Cheddar, CMT, Comedy Central, Comet, Cozi TV, Decades, Discovery, E!, Food Network, IFC, Investigation Discovery, HGTV, MotorTrend, MTV, Oxygen, Paramount Network, Pop, Smithsonian Channel, SundanceTV, SyFy, TBS, TCM, TLC, TNT, Travel Channel, TruTV, TV Land, USA, VH1, WE tv, YouTube Originals, and more NEWS BBC World News, Cheddar Big News, CNBC, CNN, HLN, MSNBC, and more KIDS Cartoon Network, Nickelodeon, PBS Kids, Universal Kids Availability: YouTube TV is available nationwide in the United States. For more information, please visit our Help Center. Your membership will automatically continue for as long as you choose to remain a member. Your membership is a month-to-month subscription that begins at sign up. You can easily cancel anytime, online, 24 hours a day. There are no long-term contracts or cancellation fees. Subscriptions automatically renew unless auto-renew is turned off at least 24-hours before the end of the current period. Account will be charged for renewal within 24-hours prior to the end of the current period. Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings on the device. Terms of service: tv.youtube.com/tv/terms Paid terms of service: tv.youtube.com/tv/paidterms Privacy policy: tv.youtube.com/tv/privacy Enjoy cable-free live tv now! *Commercial use excluded. Locally broadcast Fox and CBS games, Sunday Night Football on NBC, select digital-only games and international games excluded from NFL Sunday Ticket."
2,Tubi: Free Movies & Live TV,https://play.google.com/store/apps/details?id=com.tubitv,4.854014,"100,000,000+",Varies with device,"Sep 19, 2014","Jun 18, 2026",Tubi TV,support@tubi.tv,https://tubitv.com,,"Nice to meet you, we’re Tubi. We’re more than a completely free streamer with the largest library in the entire streaming universe. We’re entertainment fiends and collectors, and never judgers. So, get comfy and settle into whatever you’re feeling. It’s about to get good. WATCH FREE: Live TV: news, weather, sports, & entertainment It’s live, always on, always free and has way fewer ads than cable. We call that a win-win-win-win. + Check your local news channels for weather and news. + Get game day ready with pre-game excitement. + Unwind with your favorite TV competitions and guilty pleasures. Movies From the biggest names in the industry to the indie darlings we can’t get enough of. + Top titles added every month. + Bask in loads of drama that isn’t your own. + Comedy, action, and horror…oh, my! Whatever genre you’re looking for, we have it. Series Marathon all the best series, all in one place, with zero subscriptions ever. + Refine your taste buds with cooking shows and competitions. + Get lost in the drama of an evening soap. + Decompress with laugh-out-loud sitcoms. Tubi Originals Made by us, just for you. And only available on Tubi. + Critically acclaimed series like Boarders and Big Mood. + Live out your fantasies with all-new reality shows, series, and movies. Tubi Comic Con(tent) It's a bird, it's a plane, it's...all your favorite comic book heroes and caped crusaders! + Binge full series, old school and new. + Stay current with the latest Hollywood releases. Tubi Español Tú perteneces aquí. Watch in Spanish with no subtitles necessary. + Keep up with all your telenovelas. + Stream Spanish-first favorites and discover dubbed blockbusters. International Entertainment + Ikuze! We have all the anime! + Korea’s in the house!! Get your fill of K-pop, horror, action, comedy, and drama. + Live the Bollywood dream and dance along with tons of favorites. MORE PERKS + Swipe your way to discovering new content. + Never run out of stuff to watch. We add new arrivals every week. + Here, there, everywhere. Tubi works on 30+ devices, so it goes wherever you go. + We’ll never ask for your credit card, ever. It’s free forever. For really. + Create an account to build your own watchlist, save your watch progress, and get better recommendations. See You In There™"
3,YouTube TV: Live TV & more,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.unplugged,3.8006005,"10,000,000+",Varies with device,"Apr 5, 2017","Jun 18, 2026",Google LLC,youtube-support@google.com,http://tv.youtube.com,,"YouTube TV is now the exclusive home of NFL Sunday Ticket. Watch every out-of-market Sunday game* on your TV and supported devices. Learn more: https://yt.be/nflsundayticket Watch cable-free live TV. Download to watch & record live TV from 100+ networks, including local sports & news, as part of your monthly membership. Cancel anytime. +Cable-free live TV. No cable box required. +Stream major broadcast and cable networks, including CBS, FOX, NBC, NFL Network, HGTV, TNT, AMC, and more, including your local sports & news channels. +Watch on your smartphone, tablet, computer, and TV +Cloud DVR without DVR storage space limits. Each recording will be stored for 9 months. +6 YouTube TV accounts per household. Everyone gets their own login, recommendations and DVR. +Monthly pay-as-you-go membership; cancel anytime. Over 100 networks are available in YouTube TV: BROADCAST CBS, FOX, NBC, NFL Network, PBS, and more SPORTS CBS Sports Network, NBC Sports RSN (regional), NFL Network, Golf Channel, SEC Network, and more ENTERTAINMENT & LIFESTYLE AMC, Animal Planet, BBC America, BET, Bravo, Cheddar, CMT, Comedy Central, Comet, Cozi TV, Decades, Discovery, E!, Food Network, IFC, Investigation Discovery, HGTV, MotorTrend, MTV, Oxygen, Paramount Network, Pop, Smithsonian Channel, SundanceTV, SyFy, TBS, TCM, TLC, TNT, Travel Channel, TruTV, TV Land, USA, VH1, WE tv, YouTube Originals, and more NEWS BBC World News, Cheddar Big News, CNBC, CNN, HLN, MSNBC, and more KIDS Cartoon Network, Nickelodeon, PBS Kids, Universal Kids Availability: YouTube TV is available nationwide in the United States. For more information, please visit our Help Center. Your membership will automatically continue for as long as you choose to remain a member. Your membership is a month-to-month subscription that begins at sign up. You can easily cancel anytime, online, 24 hours a day. There are no long-term contracts or cancellation fees. Subscriptions automatically renew unless auto-renew is turned off at least 24-hours before the end of the current period. Account will be charged for renewal within 24-hours prior to the end of the current period. Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings on the device. Terms of service: tv.youtube.com/tv/terms Paid terms of service: tv.youtube.com/tv/paidterms Privacy policy: tv.youtube.com/tv/privacy Enjoy cable-free live tv now! *Commercial use excluded. Locally broadcast Fox and CBS games, Sunday Night Football on NBC, select digital-only games and international games excluded from NFL Sunday Ticket."
4,Google TV,https://play.google.com/store/apps/details?id=com.google.android.videos,3.9334779,"10,000,000,000+",Varies with device,"Jun 3, 2011","Jun 17, 2026",Google LLC,apps-help@google.com,http://support.google.com/googleplay,,"Google TV, previously Play Movies & TV, makes it easy to find and enjoy the entertainment you love in one place. With Google TV, you'll be able to: Find what to watch next Browse 700,000+ movies and TV episodes from across your streaming apps, all in one place and organized into topics and genres. Discover new things with recommendations based on what you love and what’s trending across the services you already have access to. Search for titles to see which streaming apps offer them. See the latest releases Buy or rent the newest movies and shows right in the Shop tab. Purchases are stored in your Library and can be downloaded to watch when you're not connected. Watch instantly on your laptop, Android phone or tablet, or on your TV with Google TV or on Play Movies & TV where available. One list for all your discoveries Add interesting shows and movies to your Watchlist to keep track of your new discoveries and view them later. The Watchlist is shared between all your devices, so you can even add to your Watchlist from your TV or phone and laptop through Search on any browser. Use your phone as your remote With a remote built right into the app, you can find something great to watch even when the couch has eaten your remote. And you can use your phone’s keyboard to quickly type complicated passwords, movie names or search terms on your Google TV or other Android TV OS device. Pantaya is a service only available in the US. Separate subscriptions required for certain streaming services or access to certain content."
5,PlutoTV: Stream Free Movies/TV,https://play.google.com/store/apps/details?id=tv.pluto.android,3.705187,"100,000,000+",Varies with device,"Mar 31, 2014","May 12, 2026","Pluto, Inc.",support@pluto.tv,http://pluto.tv/support,,"Welcome to Pluto TV! This Summer, watch Arrow, Hart of Dixie, The 100 & more, streaming on Pluto TV. Watch your favorite entertainment anytime, anywhere, on any device. All year round, Pluto TV is the ultimate app for films, movies and TV shows streaming on demand.Stream now, Pay never. Watch free entertainment any time you want with: - Free live TV streaming channels (sports, crime, comedy, anime, & more) - Stream zillions of free films, movies and TV network shows - Stay up to date with local and national news - Don’t miss all the latest CBS sports coverage - Share content to social media from your mobile device, tablet or TV to show others what you’re streaming Download Pluto TV to access the ultimate solution for free streaming entertainment options. Watch TV shows for free, along with the best new movies & films that are added constantly. Enjoy thousands of hours of endless entertainment and discover the best way to live stream TV shows and movies for free on demand. Watch blockbuster films and the best live stream TV shows with Pluto TV. Whatever content you choose, Pluto TV is available on demand on any device and from any location. Explore a variety of movie and TV shows, including: • Action: “Arrow” • Anime: “Naruto” and “One Piece” • Comedy-Drama: Hart of Dixie • True Crime“CSI: Miami” • SciFi: “The X-Files” • Reality: Survivor • Romance & Drama: • Spanish TV: ""Acapulco Shore"" • Sports: “NFL” and “UFC” • Family Favorites: “Spongebob” PLUTO TV BEST FREE STREAMING MOVIE APP STREAM LIVE TV FOR SPORTS, NEWS, & MORE - Watch sports live TV including UFC, NFL football, basketball, baseball, and classic games - Free streaming for newly added live channels, movies, shows, and romantic comedy specials - Watch TV shows for free and stream breaking news, opinion, and stats FREE STREAMING FEATURES THAT WORK FOR YOU - Save frequently watched live TV and channels to your personalized Favorites List in the Live TV section - Add video on demand to your watchlist -Resume playing where you left off when you sign up WATCH TV FOR FREE YOUR WAY - Watch your favorite TV shows & series with over 250 live channels - Stream TV with free shows and series such as Survivor, Jersey Shore, South Park, and much more - Watch TV seasons of popular hits like Star Trek, Survivor, and Unsolved Mysteries WATCH MOVIES ANYWHERE - Watch full movies for free with exclusive movie channels and more in our extensive library - Stream new movies free with everything from family-friendly and action films, to sci-fi and romance flicks - ¿Buscas entretenimiento de cine o telenovela? ¡Pluto TV tiene tus películas favoritas gratis en español! Check back often so you don’t miss the new movies and TV shows we add to our library daily. Free streaming for TV networks and top content providers, including: - Paramount - NFL - BET - CBS - Comedy Central - Lionsgate - MGM - MTV - NBC - Nickelodeon - SHOWTIME - Sony Pictures - Warner Bros. Discovery - And more! Watch & stream all your favorite free movies, live TV shows and video on demand everywhere, 100% free and legal. Download the Pluto TV app today, the best free streaming service! Privacy Policy: https://privacy.paramount.com/policy Children's Privacy Policy: https://privacy.paramount.com/childrens Your Privacy Choices: https://privacy.paramount.com/app-donotsell Terms of Use: https://legal.paramount.com/plutotv/terms-of-use California Notice: https://privacy.paramount.com/en/policy#additional-information-us-states"
6,Netflix,https://play.google.com/store/apps/details?id=com.netflix.mediaclient,3.8749359,"1,000,000,000+",Varies with device,"May 5, 2011","Jun 18, 2026","Netflix, Inc.",playstore@netflix.com,http://www.netflix.com,,"Looking for the most talked about TV shows and movies from around the world? They're all on Netflix. Discover award-winning series, movies, live events, podcasts, and games on the go - all in the mobile app. Now, you'll never miss a moment from the world of Netflix while you travel, commute, or just take a break. What you'll love about Netflix: - Smooth navigation with bottom shortcuts to quickly browse or jump back into your favorites. - A new way to discover what's next, including an upcoming clips feed. - A full world of entertainment in one place - series, movies, live events, games, and podcasts. - Keep track of everything you love, from your favorite moments to 'My List', in the 'My Netflix' tab. - Personalized recommendations based on your ratings. Instant notifications for new releases, episodes, and live events. Netflix membership is a month-to-month subscription that begins at sign-up. You can easily cancel anytime, online, 24 hours a day. There are no long-term contracts or cancellation fees. We just want you to love what you watch. Please note that the App Privacy information applies to information collected through the Netflix iOS, iPadOS, and tvOS apps. See the Netflix Privacy Statement (link below) to learn more about information we collect in other contexts, including account registration. Privacy policy: www.netflix.com/privacy Terms of use: www.netflix.com/terms Phone Number: +18667160414 Email: iosappstore@netflix.com"
7,HBO Max: Stream TV & Movies,https://play.google.com/store/apps/details?id=com.wbd.stream,4.7609744,"100,000,000+",Varies with device,"May 23, 2023","Jun 16, 2026","WarnerMedia Global Digital Services, LLC",support@hbomax.com,https://help.max.com,,"Stream season 3 of the HBO Original House of the Dragon June 21. The most talked about shows and movies featuring the worlds of HBO, the DC Universe, Adult Swim, A24, and beyond. With HBO Max you'll get: • Access to thousands of TV shows and movies. • Exclusive, award-winning series that everyone's talking about — like the HBO Originals The Last of Us, Succession, The White Lotus, and House of the Dragon. • The latest hits from HBO, Harry Potter, DC, Warner Bros., ID, Adult Swim, A24, and more. • Stream select live sports from your favorite leagues and teams. Availability varies by plan and by subscription provider. • Iconic favorite TV shows like Friends, Rick and Morty, Gossip Girl, 90 Day Fiancé, Looney Tunes, and more. • Family-friendly entertainment for the whole household. • Fascinating documentaries and true crime series. Features: • Enjoy your favorite shows and movies at home or on the go. HBO Max is available on select TV, web browser, mobile, tablet, and gaming console devices. • Catch even more sports action with the live Multiview experience — stream up to 3 games at once during select events. • Browse or search with ease across HBO, movies, series, genres, and brands. • Download shows and movies you love to watch on the go with select plans. (Download limits vary by plan.) • Personalized profiles for the entire household with customizable ratings, profile PIN protection, and kid-proof exit. • Pick up episodes and movies where you left off across your favorite devices. • Keep up with everything you love, all in one place with My Stuff. • Watch on multiple devices at the same time. (Limits vary by plan.) • Stream with high-quality video and surround sound on select plans. Content and feature availability on HBO Max may vary by region. Some titles and features shown above may not be available in your country. Language availability varies by country. You can manage or cancel your subscription by visiting Settings > Subscriptions in your HBO Max account. HBO Max is only available in certain territories. Terms of Use: https://hbomax.com/terms-of-use"
8,"Apple TV: Shows, Movies & More",https://play.google.com/store/apps/details?id=com.apple.atve.androidtv.appletv,4.099967,"100,000,000+",Varies with device,"Feb 16, 2021","Apr 29, 2026",Apple,support@apple.com,https://www.apple.com/apple-tv-app/,,"Apple TV is the home of exclusive Apple Original shows and movies, Formula 1® (for US-based customers), MLS, and Friday Night Baseball — all in one place. With an Apple TV subscription: • Stream hundreds of Apple Originals—thrilling dramas, epic sci-fi, and feel-good comedies—including Emmy®-winning series like The Studio, Severance, The Morning Show, Slow Horses, and Ted Lasso; global hits like Shrinking, Your Friends & Neighbors, Hijack, and Monarch: Legacy of Monsters; and Apple Original Films like The Gorge and record-breaking blockbuster F1 The Movie. • Enjoy new releases weekly, with no ads. • Watch every Formula 1 Grand Prix™ live—with all-access coverage for every practice, qualifying, Sprint, and race. • Watch every Major League Soccer match live throughout the regular season, the entire playoffs, and Leagues Cup, all with no blackouts. • Watch Friday Night Baseball, with live MLB matchups every Friday of the regular season. Apple TV app makes all your watching all your TV easier: • Get personalized recommendations across everything you watch • With Continue Watching, pick up where you left off across all your subscriptions and devices. • Add to Watchlist to keep track of what you want to watch later. Apple TV subscription does not include third party subscription services or content available for rent or purchase in the Apple TV app. The availability of Apple TV features, channels, and related content may vary depending on the country or region from which you attempt to access them. You can manage and cancel your subscriptions by going to your Settings on the Apple TV app after purchase. For the privacy policy, see https://www.apple.com/legal/privacy/en-ww and for Apple TV app terms and conditions, visit https://www.apple.com/legal/internet-services/itunes/us/terms.html"
9,YouTube,https://play.google.com/store/apps/details?id=com.google.android.youtube,3.8660939,"10,000,000,000+",Varies with device,"Oct 20, 2010","Jun 19, 2026",Google LLC,ytandroid-support@google.com,https://app.youtube.com,,"Get the official YouTube app on Android phones and tablets. See what the world is watching -- from the hottest music videos to what’s popular in gaming, fashion, beauty, news, learning and more. Subscribe to channels you love, create content of your own, share with friends, and watch on any device. Watch and subscribe ● Browse personal recommendations on Home ● See the latest from your favorite channels in Subscriptions ● Look up videos you’ve watched, liked, and saved for later in Library Explore different topics, what’s popular, and on the rise (available in select countries) ● Stay up to date on what’s popular in music, gaming, beauty, news, learning and more ● See what’s trending on YouTube and around the world on Explore ● Learn about the coolest Creators, Gamers, and Artists on the Rise (available in select countries) Connect with the YouTube community ● Keep up with your favorites creators with Posts, Stories, Premieres, and Live streams ● Join the conversation with comments and interact with creators and other community members Create content from your mobile device ● Create or upload your own videos directly in the app ● Engage with your audience in real time with live streaming right from the app Find the experience that fits you and your family (available in select countries) ● Every family has their own approach to online video. Learn about your options: the YouTube Kids app or a new parent supervised experience on YouTube at youtube.com/myfamily Support creators you love with channel memberships (available in select countries) ● Join channels that offer paid monthly memberships and support their work ● Get access to exclusive perks from the channel & become part of their members community ● Stand out in comments and live chats with a loyalty badge next to your username Upgrade to YouTube Premium (available in select countries) ● Watch videos uninterrupted by ads, while using other apps, or when the screen is locked ● Save videos for when you really need them – like when you’re on a plane or commuting ● Get access to YouTube Music Premium as part of your benefits"
10,Amazon Fire TV,https://play.google.com/store/apps/details?id=com.amazon.storm.lightning.client.aosp,4.5866394,"50,000,000+",4.4.0,"Nov 18, 2014","Jun 12, 2026",Amazon Mobile LLC,feedback-amazon-app-android@amazon.com,https://www.amazon.com/dp/B01N32NCPM,,"Your entertainment sidekick wherever you go. The Fire TV mobile app puts the Fire TV experience at your fingertips—whether you're on the couch or on the move. Discover & personalize your entertainment anywhere: Browse titles and get personalized recommendations. Search for movies, TV shows, and more across all your services. Build and fine-tune your watchlist in the moment. Easy control & setup: Launch it all on your big screen with seamless control. Enjoy fast text entry using your mobile keyboard. Set up new Fire TV devices quickly and easily. Compatibility: Requires an Amazon account and connection to the same Wi-Fi network as your Fire TV to launch content to your TV. Some features require a compatible Fire TV. By using this app, you agree to Amazon's Conditions of Use (www.amazon.com/conditionsofuse) and Privacy Notice (www.amazon.com/privacy)."
