#,App Name,Developer Email
1,YouTube TV: Live TV & more,youtube-support@google.com
2,Tubi: Free Movies & Live TV,support@tubi.tv
3,YouTube TV: Live TV & more,youtube-support@google.com
4,Google TV,apps-help@google.com
5,PlutoTV: Stream Free Movies/TV,support@pluto.tv
6,Netflix,playstore@netflix.com
7,HBO Max: Stream TV & Movies,support@hbomax.com
8,"Apple TV: Shows, Movies & More",support@apple.com
9,YouTube,ytandroid-support@google.com
10,Amazon Fire TV,feedback-amazon-app-android@amazon.com
11,Disney+,disneyplushelp@disney.com
12,Prime Video,pv-android-feedback@amazon.com
13,YouTube Kids,ytkids-support@google.com
14,The Roku App (Official),feedback@roku.com
15,YouTube for Android TV,apps-help@google.com
16,Peacock TV: Stream TV & Movies,support@help.peacocktv.com
17,Paramount+,help@paramountplus.com
18,Crunchyroll: Anime Streaming,support@crunchyroll.com
19,Samsung TV Plus - TV & Movies,noreply.sec@samsung.com
20,Browser TV Web - BrowseHere,browse.here@tcl.com
21,"ViX: TV, Deportes y Noticias",support@vix.com
22,TV360 SmartTV,viettelvas092014@gmail.com
23,PBS: TV Shows & Documentaries,help@pbs.org
24,"Globoplay: Novelas, séries e +",suporte@produtos.globo
25,Plex: Find Movies & TV Shows,support@plex.tv
26,Spectrum TV,SpectrumApp@charter.com
27,Hulu: Stream TV shows & movies,support@hulu.com
28,"WEBTOON: Manga, Comics, Manhwa",dl_linewebtoon@webtoonscorp.com
29,Sling: Live TV + Freestream,feedback@sling.com
30,"ZEE5: Movies, TV Shows, Series",playstore@zee5.com
31,DramaWave - Dramas & Reels,dramawaveteam@gmail.com
32,Telemundo: Series y TV en vivo,android@nbcuapps.zendesk.com
33,The Chosen,support@comeandseefoundation.org
34,VIZIO | WatchFree+,customersupport@vizio.com
35,IMDb: Movies & TV Shows,android@imdb.com
36,"iQIYI - Drama, Anime, Show",contactus@qiyi.com
37,"VK Video: movies, cartoons, TV",support@vkvideo.ru
38,DIRECTV: TV & Movie Streaming,appsupport@mydirectv.com
39,"Hoopla: Your Library, Anywhere",info@hoopladigital.com
40,Viki: Asian Dramas & Movies,help@viki.com
41,Кинопоиск－спорт，фильмы，сериалы,android@kinopoisk.ru
42,Angel: Watch Movies & TV Shows,support@angel.com
43,"CANAL+, Live and catch-up TV",support.android@canal-plus.com
44,MBC Shahid,customersupport@shahid.net
45,"Sony LIV: Series, Shows, Movie",feedbacksonyliv@setindia.com
46,Fandango at Home: Movies & TV,athomesupport@fandango.com
47,PBS KIDS Video,help@pbs.org
48,"Philo: Shows, Movies, Live TV.",help@philo.com
49,bilibili - All Your Fav Videos,global.support@bilibili.com
50,Prime Video,instant-video-feedback@amazon.com
51,Netflix,playstore@netflix.com
52,MagellanTV Documentaries,connect@magellantv.com
53,BonusTV,winkishort@gmail.com
54,Frndly TV: Live TV & Movies.,support@frndlytv.com
55,"Vidio: Sports, Movies, Series",info@vidio.com
56,"Cast to TV, Chromecast & Roku",xcast.support@inshot.com
57,Fubo: Watch Live TV & Sports,support@fubo.tv
58,"Иви: сериалы, фильмы и ТВ",support@ivi.ru
59,TV Bro,phlox.dev.team@gmail.com
60,Canal RCN,moviles@canalrcn.com
61,STARZ,help@starz.com
62,DStv,help@dstv.com
63,"TV360: Phim, Thể Thao, Show",viettelvas092014@gmail.com
64,Live Channels,apps-help@google.com
65,discovery+ | Stream TV Shows,help@discoveryplus.com
66,youtv – 500+ channels & movies,support@youtv.com.ua
67,MEGOGO: Live TV & movies,support@megogo.net
68,Sight & Sound TV,ottsupport@vimeo.com
69,Hallmark+,Care@hallmarkplus.com
70,TOD – Sports & Entertainment,support@tod.tv
71,VidAngel,support@vidangel.com
72,BookMyShow | Movies & Events,techdesk@bookmyshow.com
73,The NBC App - Stream TV Shows,android@nbcdigital.zendesk.com
74,Rumble: Stream & Watch Videos,support@rumble.com
75,AMC+,customerservice@amcplus.com
76,Howdy: Streaming Movies & TV,feedback@roku.com
77,BritBox: Home of British TV,support@britbox.com
78,"GagaOOLala: Gay, Les, BL Films",service@gagaoolala.com
79,TV Time - Track Shows & Movies,support@tvtime.com
80,iQIYI Video – Dramas & Movies,contactus@qiyi.com
81,SOOP,soop@sooplive.com
82,Playlet: Watch Short Dramas&TV,playletmicro@gmail.com
83,Movies Anywhere,help@moviesanywhere.com
84,"STAGE Films, Web-Series, Shows",support@stage.in
